港台精選,#genre#
民視,http://bd.228888888.xyz:8081/hls/ch204.m3u8
台視,http://bd.228888888.xyz:8081/hls/ch205.m3u8
中視,http://bd.228888888.xyz:8081/hls/ch202.m3u8
華視,http://bd.228888888.xyz:8081/hls/ch203.m3u8
龍翔電影,http://bd.228888888.xyz:8081/hls/ch301.m3u8
緯來電影,http://bd.228888888.xyz:8081/hls/ch302.m3u8
東森洋片,http://bd.228888888.xyz:8081/hls/ch303.m3u8
衛視電影,http://bd.228888888.xyz:8081/hls/ch304.m3u8
星衛電影,http://bd.228888888.xyz:8081/hls/ch305.m3u8
美亞電影,http://bd.228888888.xyz:8081/hls/ch306.m3u8
衛視洋片,http://bd.228888888.xyz:8081/hls/ch307.m3u8
東森電影,http://bd.228888888.xyz:8081/hls/ch308.m3u8
龍華洋片,http://bd.228888888.xyz:8081/hls/ch309.m3u8
HBOHD,http://bd.228888888.xyz:8081/hls/ch310.m3u8
HBOHITS,http://bd.228888888.xyz:8081/hls/ch311.m3u8
HBOignature,http://bd.228888888.xyz:8081/hls/ch312.m3u8
HBOfamlly,http://bd.228888888.xyz:8081/hls/ch313.m3u8
八大綜合,http://bd.228888888.xyz:8081/hls/ch206.m3u8
八大第一,http://bd.228888888.xyz:8081/hls/ch207.m3u8
八大戲劇,http://bd.228888888.xyz:8081/hls/ch208.m3u8
CNN,http://bd.228888888.xyz:8081/hls/ch315.m3u8
三立新聞,http://bd.228888888.xyz:8081/hls/ch210.m3u8
寰宇新聞,http://bd.228888888.xyz:8081/hls/ch211.m3u8
寰宇新聞2,http://bd.228888888.xyz:8081/hls/ch212.m3u8
台視新聞,http://bd.228888888.xyz:8081/hls/ch213.m3u8
華視新聞,http://bd.228888888.xyz:8081/hls/ch214.m3u8
TVBS新聞,http://bd.228888888.xyz:8081/hls/ch215.m3u8
民視新聞,http://bd.228888888.xyz:8081/hls/ch216.m3u8
東森新聞,http://bd.228888888.xyz:8081/hls/ch217.m3u8
中視新聞,http://bd.228888888.xyz:8081/hls/ch218.m3u8
中天新聞,http://bd.228888888.xyz:8081/hls/zhongtianxw.m3u8
國家地理,http://bd.228888888.xyz:8081/hls/ch316.m3u8
TVBS新聞,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
東森財經,http://seb.sason.top/sc/dscjxw_fhd.m3u8
東森新聞,http://seb.sason.top/sc/dsxw_fhd.m3u8
華視新聞,http://seb.sason.top/sc/hsxw_fhd.m3u8
民視新聞,http://seb.sason.top/sc/msxw_fhd.m3u8
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live,http://seb.sason.top/sc/sllive_fhd.m3u8
台視新聞,http://seb.sason.top/sc/tsxw_fhd.m3u8
中視新聞,http://seb.sason.top/sc/zsxw_fhd.m3u8
中天新聞,http://seb.sason.top/sc/ztxw_fhd.m3u8
香港頻道
TVB翡翠,http://bd.228888888.xyz:8081/hls/ch101.m3u8
