央视频道,#genre#
CCTV-1 综合 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2 财经 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3 综艺 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4 国际 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5 体育 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+ 体育赛事 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6 电影 FHD,http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7 国防军事 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8 电视剧 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9 纪录 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10 科教 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11 戏曲 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12 社会与法 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13 新闻 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14 少儿 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15 音乐 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17 农村农业 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CGTN FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CCTV 4K FHD版,http://140.249.30.36/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CCTV-4 美洲 SD,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
CCTV-4 欧洲 SD,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
CCTV-兵器科技 SD ▲,http://CDN-out.iqy.sc96655.com/tslive/c213_scc_20190618_adb3dsxh_original_r10/c213_scc_20190618_adb3dsxh_original_r10.m3u8
CCTV-第一剧场 SD,http://hls.globaliptv.ml/myguizhou.php?id=cctvdiyijuchang
CCTV-风云音乐 SD ▲,http://CDN-out.iqy.sc96655.com/tslive/c212_scc_20190618_oyou1l43_original_r10/c212_scc_20190618_oyou1l43_original_r10.m3u8
CCTV-风云足球 SD,http://hls.globaliptv.ml/myguizhou.php?id=cctvfengyunzuqiu
CCTV-高尔夫网球 HD,http://yeyuaihao.gz01.bdysite.com/dl/gzyx.php?id=739c8947f3ae1fff32001ea966c2fb0d
CCTV-老故事 SD,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227043/index.m3u8
CCTV-女性时尚 SD ▲,http://CDN-out.iqy.sc96655.com/tslive/c213_scc_20190618_jahoddg0_original_r10/c213_scc_20190618_jahoddg0_original_r10.m3u8
CCTV-世界地理 SD ▲,http://CDN-out.iqy.sc96655.com/tslive/c211_scc_20190618_whzzqk55_original_r10/c211_scc_20190618_whzzqk55_original_r10.m3u8
CCTV-央视台球 SD,http://42.48.60.248:8082/live/ystq-800k.m3u8
CCTV-卫生健康 SD,http://hls.globaliptv.ml/myguizhou.php?id=cctvweishengjiankang
CCTV-中学生 SD ▲,http://CDN-out.iqy.sc96655.com/tslive/c214_scc_20190618_xmfr0n1n_original_r10/c214_scc_20190618_xmfr0n1n_original_r10.m3u8
地方卫视,#genre#
湖南卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
江苏卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
浙江卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
东方卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
四川卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
北京卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
广东卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
山东卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
天津卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000295103.m3u8
东南卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
黑龙江卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
湖北卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
江西卫视 FHD,http://hls.globaliptv.ml/myguizhou.php?id=jiangxiweishihd
辽宁卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
重庆卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8
安徽卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
河北卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
河南卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
贵州卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8
广西卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
峨眉电影-1 HD,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
峨眉电影-2 FHD ▲,http://CDN-out.iqy.sc96655.com/tslive/c212_scc_20190618_5nvsifwn_original_r10/c212_scc_20190618_5nvsifwn_original_r10.m3u8
海南卫视 FHD,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8
吉林卫视 HD,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
